,UNODC,unodc_ddds@un.org,REGION,SUB-REGION,INDICATOR,DIMENSION,CATEGORY,SEX,AGE,YEAR,COUNTS,CASE-VALUE,SOURCE
1431,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,"1,400",GLOTIP
1432,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2019,Counts,79,GLOTIP
1433,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2019,Counts,129,GLOTIP
1434,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Other,18 years or over,2019,Counts,43,GLOTIP
1435,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2020,Counts,106,GLOTIP
1436,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,381,GLOTIP
1437,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2020,Counts,531,GLOTIP
1438,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,"1,615",GLOTIP
1439,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,378,GLOTIP
1440,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,652,GLOTIP
1441,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2020,Counts,68,GLOTIP
1442,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2020,Counts,69,GLOTIP
1443,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Other,18 years or over,2020,Counts,73,GLOTIP
1452,GEO,Georgia,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,5,GLOTIP
1491,GMB,Gambia,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,6,GLOTIP
1495,GMB,Gambia,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,15,GLOTIP
1498,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,11,GLOTIP
1500,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,30,GLOTIP
1501,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,5,GLOTIP
1502,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,26,GLOTIP
1507,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,11,GLOTIP
1508,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,24,GLOTIP
1515,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,8,GLOTIP
1516,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,21,GLOTIP
1520,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,14,GLOTIP
1522,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,7,GLOTIP
1526,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,11,GLOTIP
1527,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,81,GLOTIP
1534,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,9,GLOTIP
1536,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,12,GLOTIP
1541,GRC,Greece,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,67,GLOTIP
1549,GTM,Guatemala,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,26,GLOTIP
1550,GTM,Guatemala,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,11,GLOTIP
1553,GTM,Guatemala,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2017,Counts,7,GLOTIP
1554,GTM,Guatemala,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2017,Counts,5,GLOTIP
1555,GTM,Guatemala,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,178,GLOTIP
1556,GTM,Guatemala,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,43,GLOTIP
1557,GTM,Guatemala,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,35,GLOTIP
1560,GUY,Guyana,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,47,GLOTIP
1566,GUY,Guyana,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2020,Counts,124,GLOTIP
1567,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,6,GLOTIP
1571,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,25,GLOTIP
1573,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,7,GLOTIP
1575,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2015,Counts,14,GLOTIP
1577,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,7,GLOTIP
1578,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,8,GLOTIP
1579,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,52,GLOTIP
1580,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,16,GLOTIP
1585,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,5,GLOTIP
1586,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,13,GLOTIP
1587,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,88,GLOTIP
1594,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,17,GLOTIP
1595,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,31,GLOTIP
1602,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,29,GLOTIP
1603,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,14,GLOTIP
1604,HND,Honduras,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2020,Counts,5,GLOTIP
1607,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,15,GLOTIP
1608,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,11,GLOTIP
1610,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,7,GLOTIP
1611,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,30,GLOTIP
1612,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,6,GLOTIP
1613,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,6,GLOTIP
1614,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,7,GLOTIP
1617,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,5,GLOTIP
1618,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,9,GLOTIP
1619,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,6,GLOTIP
1627,HRV,Croatia,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,10,GLOTIP
1631,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,14,GLOTIP
1632,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,116,GLOTIP
1633,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,16,GLOTIP
1634,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2014,Counts,16,GLOTIP
1635,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2014,Counts,7,GLOTIP
1638,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2015,Counts,6,GLOTIP
1639,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,15,GLOTIP
1640,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,317,GLOTIP
1641,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,122,GLOTIP
1642,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2015,Counts,29,GLOTIP
1643,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2015,Counts,8,GLOTIP
1647,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,6,GLOTIP
1648,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,227,GLOTIP
1649,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,203,GLOTIP
1650,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2016,Counts,42,GLOTIP
1651,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2016,Counts,7,GLOTIP
1655,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,5,GLOTIP
1656,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,173,GLOTIP
1657,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,146,GLOTIP
1658,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,27,GLOTIP
1659,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,21,GLOTIP
1665,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,9,GLOTIP
1671,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,6,GLOTIP
1673,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,36,GLOTIP
1677,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,7,GLOTIP
1679,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,25,GLOTIP
1680,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,20,GLOTIP
1681,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,75,GLOTIP
1682,HUN,Hungary,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2020,Counts,20,GLOTIP
1689,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,22,GLOTIP
1690,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2014,Counts,5,GLOTIP
1693,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,6,GLOTIP
1694,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,15,GLOTIP
1695,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,14,GLOTIP
1696,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,27,GLOTIP
1697,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2015,Counts,5,GLOTIP
1700,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,6,GLOTIP
1702,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,32,GLOTIP
1703,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,11,GLOTIP
1704,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,32,GLOTIP
1705,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2016,Counts,9,GLOTIP
1708,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,10,GLOTIP
1710,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,24,GLOTIP
1711,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,23,GLOTIP
1712,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,35,GLOTIP
1713,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,5,GLOTIP
1716,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,26,GLOTIP
1718,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,6,GLOTIP
1720,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,24,GLOTIP
1727,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,7,GLOTIP
1728,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,26,GLOTIP
1734,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,8,GLOTIP
1736,IRL,Ireland,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,24,GLOTIP
1742,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,11,GLOTIP
1748,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,11,GLOTIP
1749,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,10,GLOTIP
1750,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2018,Counts,79,GLOTIP
1751,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Other,18 years or over,2018,Counts,13,GLOTIP
1753,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,10,GLOTIP
1760,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,5,GLOTIP
1767,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,10,GLOTIP
1771,IRQ,Iraq,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,5,GLOTIP
1776,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,27,GLOTIP
1777,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,41,GLOTIP
1779,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,10,GLOTIP
1780,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,20,GLOTIP
1781,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2015,Counts,15,GLOTIP
1783,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,6,GLOTIP
1784,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,17,GLOTIP
1785,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2016,Counts,12,GLOTIP
1787,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,5,GLOTIP
1789,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,9,GLOTIP
1791,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,19,GLOTIP
1793,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,23,GLOTIP
1799,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,29,GLOTIP
1801,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2018,Counts,25,GLOTIP
1803,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,13,GLOTIP
1805,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,19,GLOTIP
1807,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,39,GLOTIP
1809,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2019,Counts,39,GLOTIP
1811,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,17,GLOTIP
1813,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,5,GLOTIP
1815,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,8,GLOTIP
1817,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2020,Counts,8,GLOTIP
1818,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2021,Counts,11,GLOTIP
1819,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,22,GLOTIP
1822,ISR,Israel,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,16,GLOTIP
1825,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,8,GLOTIP
1826,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,11,GLOTIP
1827,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,51,GLOTIP
1828,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,593,GLOTIP
1829,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2014,Counts,39,GLOTIP
1830,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2014,Counts,52,GLOTIP
1832,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,18,GLOTIP
1834,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,64,GLOTIP
1835,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,65,GLOTIP
1836,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,431,GLOTIP
1837,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2015,Counts,47,GLOTIP
1838,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2015,Counts,64,GLOTIP
1839,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,10,GLOTIP
1840,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,59,GLOTIP
1841,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,78,GLOTIP
1842,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,383,GLOTIP
1843,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2016,Counts,43,GLOTIP
1844,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2016,Counts,105,GLOTIP
1846,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,30,GLOTIP
1848,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,185,GLOTIP
1850,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,58,GLOTIP
1851,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,289,GLOTIP
1852,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,24,GLOTIP
1853,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,96,GLOTIP
1855,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,39,GLOTIP
1857,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,188,GLOTIP
1859,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,55,GLOTIP
1860,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,265,GLOTIP
